1
Vendor Device GVertexMath GPixelMath GOutputBytes GAniso1 GAniso2 GAniso4 GAniso8 GAniso16
1002 9490 41.91 43.10 21.62 5.30 4.26 3.12 2.12 1.57 "ATI Radeon HD 4600 Series"
1002 9495 32.95 33.78 10.53 2.59 2.14 1.89 1.39 1.11 "ATI Radeon HD 4600 Series"
1002 9498 33.44 33.78 13.19 3.27 2.67 2.17 1.56 1.18 "ATI Radeon HD 4600 Series"
1002 94A3 56.28 56.98 28.95 7.21 3.81 1.95 1.25 0.78 "ATI FirePro M7740"
1002 94B3 84.49 86.94 43.94 10.99 6.34 3.63 2.32 1.68 "ATI Radeon HD 4770"
1002 94C1 4.92 5.05 9.22 1.50 0.75 0.42 0.28 0.22 "ATI Radeon HD 2400 Series"
1002 94C3 3.69 3.77 5.19 1.09 0.56 0.31 0.21 0.16 "ATI Radeon HD 2400"
1002 94C4 2.77 2.90 4.95 0.72 0.38 0.19 0.12 0.09 "ATI Radeon HD 2400 PRO AGP"
1002 94C7 2.78 2.90 3.29 0.77 0.38 0.19 0.12 0.09 "ATI Radeon HD 2350"
1002 94C8 2.09 4.29 4.24 1.15 0.62 0.34 0.24 0.18 "ATI Mobility Radeon HD 2400 XT"
1002 94C9 3.01 3.23 6.04 0.85 0.43 0.22 0.14 0.10 "ATI Mobility Radeon HD 2400"
1002 9501 43.39 43.55 43.32 6.38 3.16 1.77 1.20 0.87 "ATI Radeon HD 3800 Series"
1002 9505 38.33 39.89 39.79 5.86 2.92 1.63 1.09 0.80 "ATI Radeon HD 3800 Series"
1002 9508 35.95 36.94 36.95 5.56 2.80 1.54 1.03 0.78 "ATI Mobility Radeon HD 3870"
1002 950F 45.67 47.61 47.02 7.00 3.48 1.94 1.30 0.96 "ATI Radeon HD 3870 X2"
1002 9515 37.63 38.70 38.28 5.69 2.83 1.58 1.06 0.78 "ATI Radeon HD 3850 AGP"
1002 9540 8.48 8.63 5.66 2.17 1.26 0.71 0.46 0.33 "ATI Radeon HD 4550"
1002 954F 9.25 9.45 5.24 1.26 0.98 0.65 0.45 0.34 "ATI Radeon HD 4300/4500 Series"
